Ticker,MARKETCAP,NMVOLUME_AVG_CR_10D,PRICE_HIGHEST_CR_52W,PRICE_LOWEST_CR_52W,OUTSTANDING_SHARES,FREEFLOAT,BETA,PRICE_TO_EARNINGS,PRICE_TO_BOOK,DIVIDEND_YIELD,BVPS_CR
NBB,1752796412500.0,14838.9,26800.0,16100.0,100159795.0,-0.4097095320283353,0.5689292783613406,187.85974474557884,0.9650744110876667,0.0,18133.316767022137
NBC,332992116000.0,63740.9,11700.0,8300.0,36999124.0,0.9998714293884363,-0.1867553150324368,8.910984198102517,0.620940037359363,0.05555555555555555,14494.153152490853
NBE,48500000000.0,2956.3,11474.0,9667.0,5000000.0,0.95,0.16982469409324555,5.33709880876945,0.5002907535078712,0.1134020618556701,19388.7253202
NBP,97777800000.0,1320.1,12100.0,7200.0,12865500.0,-0.13869185029730674,0.28350249315837556,9.50302191369535,0.40648535581902656,0.0001442112626792585,18696.86051711943
NBT,441000000000.0,420.2,19345.0,15000.0,29400000.0,0.6732515306122449,-0.0030564566395398863,8.240632086722863,0.9766716196025925,0.10666666666666667,15358.283888809523
NBW,371690000000.0,30.0,41797.0,29484.0,10900000.0,0.20090733944954128,0.13940589127359412,13.0554137536948,1.9424659147692618,0.055017215187387336,17555.0055940367
NCG,1283489042375.0,34177.3,13300.0,8800.0,119784325.0,1.0,0.6921197545370338,7.518220273282757,0.6126515558754181,0.00832660897378937,17489.549968887834
NCS,735876610000.0,10.9,43800.0,27300.0,17948210.0,0.2976432019035163,0.3476567792852541,10.301010288192618,2.812508937723702,0.0,14577.731451827229
NCT,2420330210000.0,15478.5,103645.0,88800.0,26165732.0,0.8088115020057531,0.2264305826659777,6.2558732797673455,2.96744763190488,0.08641058791725778,31171.569467806214
ND2,1799782560000.0,1080.2,39900.0,33281.0,49993960.0,0.1389867696017679,0.06949601376940599,8.279593084402409,1.938614432883648,0.06916450083558982,18569.96388211696
NDC,954240000000.0,103.0,175000.0,110200.0,5964000.0,0.1787248490945674,0.24339906853229565,10.594670806453633,1.4688307617825498,0.018632262323943664,108930.18049664654
NDF,7068420000.0,0.0,900.0,900.0,7853800.0,0.9208663322213451,0.0,,,,11089.635437240571
NDN,745242534400.0,190109.4,14100.0,8242.0,71657936.0,0.8886793780942839,0.8553507777770163,4.381658851978781,0.6060916697419004,0.048039377782997356,17159.120508006257
NDP,287490000000.0,3.9,27163.0,15690.0,11100000.0,0.41287864864864865,-0.060194262078387135,12.620729797419282,1.08382329656018,0.01925228103586212,23896.884374234236
NDT,74993684920.0,5508.1,5800.0,4070.0,15639976.0,-0.17131490483105602,0.1539326201328324,4.405167159079927,1.472810903385723,0.016957427833511503,3255.679319712511
NDW,496306696000.0,0.0,14500.0,6700.0,34228048.0,-0.09554231979087746,0.06659377763557209,15.849201800047158,1.1926523931261948,0.016551724137931035,12157.775462129772
NDX,64236631900.0,5870.1,6700.0,4800.0,9587557.0,0.8677128951554419,0.14331802141152095,13.189446515171557,0.5579736240283021,0.00019140790287916698,12007.73604965269
